Категория;Товар;Цена;Адрес;Видим;Рекомендуемый;Бренд;Вариант;"Старая цена";Артикул;Склад;"Заголовок страницы";"Ключевые слова";"Описание страницы";Аннотация;Описание;Изображения;Вес;Цвет;Производитель;Ширина;Материал;Покрытие;"Угол открывания";Высота;"Единица измерения";Длина;"Нагрузка, N";"Размер чаши";"Установочный проем";"Общий размер";"Вес без упаковки";"Вес в упаковке";"Размеры упаковки";"Размер мойки";"Диаметр, мм";"Толщина стали,мм.";Размеры;Глубина;Диаметр;Толщина
"Комплектующие для мебели/Комплектующие для шкафов-купе/Комплектующие на шкаф Рамир/Шлегель";"Шлегель Cерый 7*6 М 150";7.00;shlegel-ceryj-76-m-150;0;;;;;00000001089;0;"Шлегель Cерый 7*6 М 150";"Шлегель Cерый 7*6 М 150";;;;"d81447df626dc94d726271d1261a2c79_3.png, 68c93d9f8952dbf38e6ed434afaa1ed8_1.png";;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Крепёжная фурнитура/Шкант";"Шкант 8*30 бук";0.13;shkant-830-buk;1;;;;;00000001636;3484;"Шкант 8*30 бук";"Шкант 8*30 бук";;;;"R_Shkant_mebelnii_830_mm_buk_FRM0687.jpg, C_Shkant_mebelnii_830_mm_buk_ROS1300.gif, bcf47f6968beea84402a771327972f8a.jpg";;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Направляющие для выдвижных ящиков/Шариковые напр. отталкивающие";"Шариковые напр. отталкив. L500 h-45 Hardi";250.31;sharikovye-napr-ottalkiv-l500-h-45-hardi;1;;;;;00000002435;10;"Шариковые напр. отталкив. L500 h-45 Hardi";"Шариковые напр. отталкив. L500 h-45 Hardi";;;;napr_ottalk.jpg;;;;;;;;h45;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Направляющие для выдвижных ящиков/Шариковые напр. отталкивающие";"Шариковые напр. отталкив. L450 h-45 Hardi";177.00;sharikovye-napr-ottalkiv-l450-h-45-hardi;1;;;;;00000002434;6;"Шариковые напр. отталкив. L450 h-45 Hardi";"Шариковые напр. отталкив. L450 h-45 Hardi";;;;napr_ottalk_1.jpg;;;;;;;;h45;;L450;;;;;;;;;;;;;;
"Комплектующие для мебели/Направляющие для выдвижных ящиков/Шариковые напр. отталкивающие";"Шариковые напр. отталкив. L400 h-45 Hardi";0.00;sharikovye-napr-ottalkiv-l400-h-45-hardi;1;;;;;00000002433;12;"Шариковые напр. отталкив. L400 h-45 Hardi";"Шариковые напр. отталкив. L400 h-45 Hardi";;;;napr_ottalk_2.jpg;;;;;;;;h45;;L400;;;;;;;;;;;;;;
"Комплектующие для мебели/Направляющие для выдвижных ящиков/Шариковые напр. отталкивающие";"Шариковые напр. отталкив. L400 h-45 Hardi";158.00;sharikovye-napr-ottalkiv-l400-h-45-hardi;1;;;;;00000002433;12;"Шариковые напр. отталкив. L400 h-45 Hardi";"Шариковые напр. отталкив. L400 h-45 Hardi";;;;napr_ottalk_2.jpg;;;;;;;;h45;;L400;;;;;;;;;;;;;;
"Комплектующие для мебели/Направляющие для выдвижных ящиков/Шариковые напр. отталкивающие";"Шариковые напр. отталкив. L350 h-45 Hardi";139.00;sharikovye-napr-ottalkiv-l350-h-45-hardi;1;;;;;00000002432;12;"Шариковые напр. отталкив. L350 h-45 Hardi";"Шариковые напр. отталкив. L350 h-45 Hardi";;;;napr_ottalk_3.jpg;;;;;;;;h45;;L350;;;;;;;;;;;;;;
"Комплектующие для мебели/Направляющие для выдвижных ящиков/Шариковые направляющие ";"Шариковые напр. L650 h-45 Arket";124.68;sharikovye-napr-l650-h-45-arket;1;;;;;00000002952;483;"Шариковые напр. L650 h-45 Arket";"Шариковые напр. L650 h-45 Arket";;;;317_prowadnica_kulk_h45-1.jpg;;;;;;;;h45;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Направляющие для выдвижных ящиков/Шариковые направляющие ";"Шариковые напр. L650 h-45 Arket";124.68;sharikovye-napr-l650-h-45-arket;1;;;;;00000002952;462;"Шариковые напр. L650 h-45 Arket";"Шариковые напр. L650 h-45 Arket";;;;317_prowadnica_kulk_h45-1.jpg;;;;;;;;h45;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Направляющие для выдвижных ящиков/Шариковые направляющие ";"Шариковые напр. L600 h-45 Hardi";125.00;sharikovye-napr-l600-h-45-hardi;1;;;;;00000002429;0;"Шариковые напр. L600 h-45 Hardi";"Шариковые напр. L600 h-45 Hardi";;;;guides-2_5.jpg;;;;;;;;h45;;L650;;;;;;;;;;;;;;
"Комплектующие для мебели/Направляющие для выдвижных ящиков/Шариковые направляющие ";"Шариковые напр. L600 h-45";130.00;sharikovye-napr-l600-h-45;1;;;;;00000000172;10;"Шариковые напр. L600 h-45";"Шариковые напр. L600 h-45";;;;317_prowadnica_kulk_h45.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Направляющие для выдвижных ящиков/Шариковые направляющие ";"Шариковые напр. L550 h-45 черные Sandy";65.87;sharikovye-napr-l550-h-45-chernye-sandy;0;;;;;00000002950;0;"Шариковые напр. L550 h-45 черные Sandy";"Шариковые напр. L550 h-45 черные Sandy";;;;668413713e7fa5d41fdf15bcac15468e.jpg;;;;;;;;h45;;L550;;;;;;;;;;;;;;
"Комплектующие для мебели/Направляющие для выдвижных ящиков/Шариковые направляющие ";"Шариковые напр. L550 h-45 Hardi";120.00;sharikovye-napr-l550-h-45-hardi;1;;;;;00000002428;10;"Шариковые напр. L550 h-45 Hardi";"Шариковые напр. L550 h-45 Hardi";;;;guides-2_6.jpg;;;;;;;;h45;;L550;;;;;;;;;;;;;;
"Комплектующие для мебели/Направляющие для выдвижных ящиков/Шариковые направляющие ";"Шариковые напр. L500 h-45 Hardi";103.00;sharikovye-napr-l500-h-45-hardi;1;;;;;00000002426;0;"Шариковые напр. L500 h-45 Hardi";"Шариковые напр. L500 h-45 Hardi";;;;guides-2_7.jpg;;;;;;;;h45;;L550;;;;;;;;;;;;;;
"Комплектующие для мебели/Направляющие для выдвижных ящиков/Шариковые направляющие ";"Шариковые напр. L450 h-45 Hardi";92.00;sharikovye-napr-l450-h-45-hardi;1;;;;;00000002416;0;"Шариковые напр. L450 h-45 Hardi";"Шариковые напр. L450 h-45 Hardi";;;;guides-2_8.jpg;;;;;;;;h45;;L500;;;;;;;;;;;;;;
"Комплектующие для мебели/Направляющие для выдвижных ящиков/Шариковые направляющие ";"Шариковые напр. L450 h-45 Arket";104.89;sharikovye-napr-l450-h-45-arket;1;;;;;00000002086;0;"Шариковые напр. L450 h-45 Arket";"Шариковые напр. L450 h-45 Arket";;;;317_prowadnica_kulk_h45_4.jpg;;;;;;;;;;;;;;;;;;;;;;;;
